Metrics,Score
eval_acc,0.8396
eval_auc,0.8036
eval_brier,0.1604
eval_f1,0.7119
eval_loss,1.066
eval_mcc,0.601
eval_pf,0.1169
eval_precision,0.7
eval_recall,0.7241
eval_time,17.0
