Metrics,Score
eval_acc,0.9114
eval_auc,0.8712
eval_brier,0.0886
eval_f1,0.7077
eval_loss,0.7048
eval_mcc,0.6648
eval_pf,0.0742
eval_precision,0.6244
eval_recall,0.8166
eval_time,195.0
