Epoch,Metrics,Score
0,eval_acc,0.97
0,eval_auc,0.9363
0,eval_brier,0.03
0,eval_f1,0.7327
0,eval_loss,0.1655
0,eval_mcc,0.7315
0,eval_pf,0.0267
0,eval_precision,0.6181
0,eval_recall,0.8993
0,eval_time,532.0
0,___best___,___best___
1,eval_acc,0.9806
1,eval_auc,0.9634
1,eval_brier,0.0194
1,eval_f1,0.8168
1,eval_loss,0.0732
1,eval_mcc,0.8151
1,eval_pf,0.0177
1,eval_precision,0.7196
1,eval_recall,0.9444
1,eval_time,532.0
1,___best___,___best___
2,eval_acc,0.9901
2,eval_auc,0.9486
2,eval_brier,0.0099
2,eval_f1,0.8935
2,eval_loss,0.0596
2,eval_mcc,0.8884
2,eval_pf,0.0057
2,eval_precision,0.8844
2,eval_recall,0.9028
2,eval_time,532.0
2,___best___,___best___
3,eval_acc,0.9847
3,eval_auc,0.954
3,eval_brier,0.0153
3,eval_f1,0.8466
3,eval_loss,0.0795
3,eval_mcc,0.8416
3,eval_pf,0.0122
3,eval_precision,0.784
3,eval_recall,0.9201
3,eval_time,531.0
4,eval_acc,0.9518
4,eval_auc,0.9549
4,eval_brier,0.0482
4,eval_f1,0.6456
4,eval_loss,0.3012
4,eval_mcc,0.6641
4,eval_pf,0.0485
4,eval_precision,0.4868
4,eval_recall,0.9583
4,eval_time,531.0
5,eval_acc,0.9564
5,eval_auc,0.9573
5,eval_brier,0.0436
5,eval_f1,0.6683
5,eval_loss,0.2479
5,eval_mcc,0.6836
5,eval_pf,0.0437
5,eval_precision,0.513
5,eval_recall,0.9583
5,eval_time,531.0
6,eval_acc,0.9851
6,eval_auc,0.9591
6,eval_brier,0.0149
6,eval_f1,0.8508
6,eval_loss,0.1001
6,eval_mcc,0.8464
6,eval_pf,0.0123
6,eval_precision,0.7836
6,eval_recall,0.9306
6,eval_time,532.0
7,eval_acc,0.9672
7,eval_auc,0.9614
7,eval_brier,0.0328
7,eval_f1,0.7275
7,eval_loss,0.2345
7,eval_mcc,0.7349
7,eval_pf,0.0322
7,eval_precision,0.5876
7,eval_recall,0.9549
7,eval_time,531.0
8,eval_acc,0.9728
8,eval_auc,0.961
8,eval_brier,0.0272
8,eval_f1,0.7615
8,eval_loss,0.2129
8,eval_mcc,0.7644
8,eval_pf,0.026
8,eval_precision,0.6364
8,eval_recall,0.9479
8,eval_time,531.0
9,eval_acc,0.972
9,eval_auc,0.9605
9,eval_brier,0.028
9,eval_f1,0.7562
9,eval_loss,0.25
9,eval_mcc,0.7596
9,eval_pf,0.0268
9,eval_precision,0.629
9,eval_recall,0.9479
9,eval_time,531.0
10,eval_acc,0.9642
10,eval_auc,0.9631
10,eval_brier,0.0358
10,eval_f1,0.7112
10,eval_loss,0.3001
10,eval_mcc,0.7216
10,eval_pf,0.0357
10,eval_precision,0.5642
10,eval_recall,0.9618
10,eval_time,534.0
11,eval_acc,0.9843
11,eval_auc,0.9587
11,eval_brier,0.0157
11,eval_f1,0.8441
11,eval_loss,0.091
11,eval_mcc,0.8399
11,eval_pf,0.0132
11,eval_precision,0.7723
11,eval_recall,0.9306
11,eval_time,534.0
12,eval_acc,0.9609
12,eval_auc,0.9564
12,eval_brier,0.0391
12,eval_f1,0.6902
12,eval_loss,0.3223
12,eval_mcc,0.7015
12,eval_pf,0.0387
12,eval_precision,0.5415
12,eval_recall,0.9514
12,eval_time,532.0
13,eval_acc,0.9766
13,eval_auc,0.9646
13,eval_brier,0.0234
13,eval_f1,0.7885
13,eval_loss,0.2068
13,eval_mcc,0.7895
13,eval_pf,0.0222
13,eval_precision,0.6732
13,eval_recall,0.9514
13,eval_time,532.0
14,eval_acc,0.9695
14,eval_auc,0.9642
14,eval_brier,0.0305
14,eval_f1,0.7419
14,eval_loss,0.282
14,eval_mcc,0.7483
14,eval_pf,0.03
14,eval_precision,0.6053
14,eval_recall,0.9583
14,eval_time,531.0
15,eval_acc,0.9722
15,eval_auc,0.9639
15,eval_brier,0.0278
15,eval_f1,0.7586
15,eval_loss,0.2759
15,eval_mcc,0.7628
15,eval_pf,0.027
15,eval_precision,0.6293
15,eval_recall,0.9549
15,eval_time,534.0
16,eval_acc,0.9725
16,eval_auc,0.9641
16,eval_brier,0.0275
16,eval_f1,0.7607
16,eval_loss,0.2775
16,eval_mcc,0.7647
16,eval_pf,0.0267
16,eval_precision,0.6322
16,eval_recall,0.9549
16,eval_time,535.0
17,eval_acc,0.9728
17,eval_auc,0.9643
17,eval_brier,0.0272
17,eval_f1,0.7628
17,eval_loss,0.2792
17,eval_mcc,0.7666
17,eval_pf,0.0263
17,eval_precision,0.6351
17,eval_recall,0.9549
17,eval_time,532.0
18,eval_acc,0.973
18,eval_auc,0.9644
18,eval_brier,0.027
18,eval_f1,0.7639
18,eval_loss,0.2805
18,eval_mcc,0.7675
18,eval_pf,0.0262
18,eval_precision,0.6366
18,eval_recall,0.9549
18,eval_time,534.0
19,eval_acc,0.973
19,eval_auc,0.9644
19,eval_brier,0.027
19,eval_f1,0.7639
19,eval_loss,0.2811
19,eval_mcc,0.7675
19,eval_pf,0.0262
19,eval_precision,0.6366
19,eval_recall,0.9549
19,eval_time,537.0
