Epoch,Metrics,Score
0,eval_acc,0.0849
0,eval_auc,0.5
0,eval_brier,0.9151
0,eval_f1,0.1565
0,eval_loss,0.753
0,eval_mcc,0.0
0,eval_pf,1.0
0,eval_precision,0.0849
0,eval_recall,1.0
0,eval_time,72.0
0,___best___,___best___
1,eval_acc,0.9003
1,eval_auc,0.9239
1,eval_brier,0.0997
1,eval_f1,0.6186
1,eval_loss,0.4126
1,eval_mcc,0.6198
1,eval_pf,0.1046
1,eval_precision,0.458
1,eval_recall,0.9524
1,eval_time,72.0
1,___best___,___best___
2,eval_acc,0.9757
2,eval_auc,0.9507
2,eval_brier,0.0243
2,eval_f1,0.8657
2,eval_loss,0.1263
2,eval_mcc,0.8542
2,eval_pf,0.0191
2,eval_precision,0.8169
2,eval_recall,0.9206
2,eval_time,72.0
2,___best___,___best___
3,eval_acc,0.965
3,eval_auc,0.9521
3,eval_brier,0.035
3,eval_f1,0.8194
3,eval_loss,0.2163
3,eval_mcc,0.8081
3,eval_pf,0.0324
3,eval_precision,0.7284
3,eval_recall,0.9365
3,eval_time,72.0
4,eval_acc,0.9798
4,eval_auc,0.9602
4,eval_brier,0.0202
4,eval_f1,0.8872
4,eval_loss,0.0955
4,eval_mcc,0.8776
4,eval_pf,0.0162
4,eval_precision,0.8429
4,eval_recall,0.9365
4,eval_time,72.0
4,___best___,___best___
5,eval_acc,0.9798
5,eval_auc,0.9602
5,eval_brier,0.0202
5,eval_f1,0.8872
5,eval_loss,0.1186
5,eval_mcc,0.8776
5,eval_pf,0.0162
5,eval_precision,0.8429
5,eval_recall,0.9365
5,eval_time,72.0
5,___best___,___best___
6,eval_acc,0.9744
6,eval_auc,0.9572
6,eval_brier,0.0256
6,eval_f1,0.8613
6,eval_loss,0.1526
6,eval_mcc,0.8506
6,eval_pf,0.0221
6,eval_precision,0.7973
6,eval_recall,0.9365
6,eval_time,72.0
7,eval_acc,0.934
7,eval_auc,0.9351
7,eval_brier,0.066
7,eval_f1,0.7066
7,eval_loss,0.4183
7,eval_mcc,0.6987
7,eval_pf,0.0663
7,eval_precision,0.5673
7,eval_recall,0.9365
7,eval_time,72.0
8,eval_acc,0.9582
8,eval_auc,0.9484
8,eval_brier,0.0418
8,eval_f1,0.7919
8,eval_loss,0.2725
8,eval_mcc,0.7809
8,eval_pf,0.0398
8,eval_precision,0.686
8,eval_recall,0.9365
8,eval_time,73.0
9,eval_acc,0.9582
9,eval_auc,0.9484
9,eval_brier,0.0418
9,eval_f1,0.7919
9,eval_loss,0.2779
9,eval_mcc,0.7809
9,eval_pf,0.0398
9,eval_precision,0.686
9,eval_recall,0.9365
9,eval_time,72.0
10,eval_acc,0.9596
10,eval_auc,0.9491
10,eval_brier,0.0404
10,eval_f1,0.7973
10,eval_loss,0.2832
10,eval_mcc,0.7861
10,eval_pf,0.0383
10,eval_precision,0.6941
10,eval_recall,0.9365
10,eval_time,72.0
11,eval_acc,0.9609
11,eval_auc,0.9498
11,eval_brier,0.0391
11,eval_f1,0.8027
11,eval_loss,0.2895
11,eval_mcc,0.7915
11,eval_pf,0.0368
11,eval_precision,0.7024
11,eval_recall,0.9365
11,eval_time,72.0
12,eval_acc,0.9609
12,eval_auc,0.9498
12,eval_brier,0.0391
12,eval_f1,0.8027
12,eval_loss,0.2943
12,eval_mcc,0.7915
12,eval_pf,0.0368
12,eval_precision,0.7024
12,eval_recall,0.9365
12,eval_time,72.0
13,eval_acc,0.9609
13,eval_auc,0.9498
13,eval_brier,0.0391
13,eval_f1,0.8027
13,eval_loss,0.2989
13,eval_mcc,0.7915
13,eval_pf,0.0368
13,eval_precision,0.7024
13,eval_recall,0.9365
13,eval_time,72.0
14,eval_acc,0.9609
14,eval_auc,0.9498
14,eval_brier,0.0391
14,eval_f1,0.8027
14,eval_loss,0.3025
14,eval_mcc,0.7915
14,eval_pf,0.0368
14,eval_precision,0.7024
14,eval_recall,0.9365
14,eval_time,72.0
15,eval_acc,0.9609
15,eval_auc,0.9498
15,eval_brier,0.0391
15,eval_f1,0.8027
15,eval_loss,0.3045
15,eval_mcc,0.7915
15,eval_pf,0.0368
15,eval_precision,0.7024
15,eval_recall,0.9365
15,eval_time,72.0
16,eval_acc,0.9609
16,eval_auc,0.9498
16,eval_brier,0.0391
16,eval_f1,0.8027
16,eval_loss,0.3067
16,eval_mcc,0.7915
16,eval_pf,0.0368
16,eval_precision,0.7024
16,eval_recall,0.9365
16,eval_time,72.0
17,eval_acc,0.9609
17,eval_auc,0.9498
17,eval_brier,0.0391
17,eval_f1,0.8027
17,eval_loss,0.308
17,eval_mcc,0.7915
17,eval_pf,0.0368
17,eval_precision,0.7024
17,eval_recall,0.9365
17,eval_time,72.0
18,eval_acc,0.9609
18,eval_auc,0.9498
18,eval_brier,0.0391
18,eval_f1,0.8027
18,eval_loss,0.3093
18,eval_mcc,0.7915
18,eval_pf,0.0368
18,eval_precision,0.7024
18,eval_recall,0.9365
18,eval_time,72.0
19,eval_acc,0.9609
19,eval_auc,0.9498
19,eval_brier,0.0391
19,eval_f1,0.8027
19,eval_loss,0.3095
19,eval_mcc,0.7915
19,eval_pf,0.0368
19,eval_precision,0.7024
19,eval_recall,0.9365
19,eval_time,72.0
