Epoch,Metrics,Score
0,eval_acc,0.8756
0,eval_auc,0.8241
0,eval_brier,0.1244
0,eval_f1,0.5538
0,eval_loss,0.6547
0,eval_mcc,0.513
0,eval_pf,0.1112
0,eval_precision,0.4358
0,eval_recall,0.7593
0,eval_time,261.0
0,___best___,___best___
1,eval_acc,0.9435
1,eval_auc,0.8513
1,eval_brier,0.0565
1,eval_f1,0.7258
1,eval_loss,0.214
1,eval_mcc,0.6943
1,eval_pf,0.033
1,eval_precision,0.7162
1,eval_recall,0.7356
1,eval_time,260.0
1,___best___,___best___
2,eval_acc,0.8942
2,eval_auc,0.851
2,eval_brier,0.1058
2,eval_f1,0.6049
2,eval_loss,0.3348
2,eval_mcc,0.5699
2,eval_pf,0.0947
2,eval_precision,0.4876
2,eval_recall,0.7966
2,eval_time,261.0
3,eval_acc,0.9153
3,eval_auc,0.8687
3,eval_brier,0.0847
3,eval_f1,0.6602
3,eval_loss,0.3314
3,eval_mcc,0.6278
3,eval_pf,0.0729
3,eval_precision,0.5571
3,eval_recall,0.8102
3,eval_time,260.0
4,eval_acc,0.9256
4,eval_auc,0.903
4,eval_brier,0.0744
4,eval_f1,0.7049
4,eval_loss,0.4326
4,eval_mcc,0.681
4,eval_pf,0.0686
4,eval_precision,0.5904
4,eval_recall,0.8746
4,eval_time,261.0
5,eval_acc,0.8942
5,eval_auc,0.893
5,eval_brier,0.1058
5,eval_f1,0.6315
5,eval_loss,0.6465
5,eval_mcc,0.6113
5,eval_pf,0.1054
5,eval_precision,0.4888
5,eval_recall,0.8915
5,eval_time,260.0
6,eval_acc,0.9297
6,eval_auc,0.8917
6,eval_brier,0.0703
6,eval_f1,0.7094
6,eval_loss,0.4363
6,eval_mcc,0.6818
6,eval_pf,0.0606
6,eval_precision,0.6118
6,eval_recall,0.8441
6,eval_time,260.0
7,eval_acc,0.9066
7,eval_auc,0.8819
7,eval_brier,0.0934
7,eval_f1,0.6494
7,eval_loss,0.6072
7,eval_mcc,0.6223
7,eval_pf,0.087
7,eval_precision,0.5251
7,eval_recall,0.8508
7,eval_time,259.0
8,eval_acc,0.9273
8,eval_auc,0.8859
8,eval_brier,0.0727
8,eval_f1,0.6999
8,eval_loss,0.4743
8,eval_mcc,0.671
8,eval_pf,0.0621
8,eval_precision,0.6029
8,eval_recall,0.8339
8,eval_time,259.0
9,eval_acc,0.8898
9,eval_auc,0.8996
9,eval_brier,0.1102
9,eval_f1,0.627
9,eval_loss,0.8542
9,eval_mcc,0.6107
9,eval_pf,0.1127
9,eval_precision,0.4778
9,eval_recall,0.9119
9,eval_time,259.0
10,eval_acc,0.9246
10,eval_auc,0.8934
10,eval_brier,0.0754
10,eval_f1,0.6971
10,eval_loss,0.6204
10,eval_mcc,0.6705
10,eval_pf,0.0675
10,eval_precision,0.5888
10,eval_recall,0.8542
10,eval_time,260.0
11,eval_acc,0.9132
11,eval_auc,0.8961
11,eval_brier,0.0868
11,eval_f1,0.6719
11,eval_loss,0.6848
11,eval_mcc,0.6481
11,eval_pf,0.0824
11,eval_precision,0.5455
11,eval_recall,0.8746
11,eval_time,261.0
12,eval_acc,0.9156
12,eval_auc,0.8974
12,eval_brier,0.0844
12,eval_f1,0.6781
12,eval_loss,0.6642
12,eval_mcc,0.6542
12,eval_pf,0.0798
12,eval_precision,0.5536
12,eval_recall,0.8746
12,eval_time,260.0
13,eval_acc,0.9091
13,eval_auc,0.9028
13,eval_brier,0.0909
13,eval_f1,0.6667
13,eval_loss,0.799
13,eval_mcc,0.6462
13,eval_pf,0.0893
13,eval_precision,0.5312
13,eval_recall,0.8949
13,eval_time,259.0
14,eval_acc,0.906
14,eval_auc,0.9011
14,eval_brier,0.094
14,eval_f1,0.6592
14,eval_loss,0.8384
14,eval_mcc,0.6388
14,eval_pf,0.0928
14,eval_precision,0.5217
14,eval_recall,0.8949
14,eval_time,259.0
15,eval_acc,0.9046
15,eval_auc,0.9003
15,eval_brier,0.0954
15,eval_f1,0.6559
15,eval_loss,0.8647
15,eval_mcc,0.6357
15,eval_pf,0.0943
15,eval_precision,0.5176
15,eval_recall,0.8949
15,eval_time,261.0
16,eval_acc,0.9042
16,eval_auc,0.8986
16,eval_brier,0.0958
16,eval_f1,0.6542
16,eval_loss,0.8826
16,eval_mcc,0.6334
16,eval_pf,0.0943
16,eval_precision,0.5167
16,eval_recall,0.8915
16,eval_time,260.0
17,eval_acc,0.9035
17,eval_auc,0.8982
17,eval_brier,0.0965
17,eval_f1,0.6526
17,eval_loss,0.8982
17,eval_mcc,0.6319
17,eval_pf,0.0951
17,eval_precision,0.5147
17,eval_recall,0.8915
17,eval_time,261.0
18,eval_acc,0.9032
18,eval_auc,0.8995
18,eval_brier,0.0968
18,eval_f1,0.6527
18,eval_loss,0.9073
18,eval_mcc,0.6325
18,eval_pf,0.0959
18,eval_precision,0.5136
18,eval_recall,0.8949
18,eval_time,259.0
19,eval_acc,0.9029
19,eval_auc,0.8993
19,eval_brier,0.0971
19,eval_f1,0.6519
19,eval_loss,0.9103
19,eval_mcc,0.6317
19,eval_pf,0.0962
19,eval_precision,0.5126
19,eval_recall,0.8949
19,eval_time,259.0
