Epoch,Metrics,Score
0,eval_acc,0.332
0,eval_auc,0.5993
0,eval_brier,0.668
0,eval_f1,0.2494
0,eval_loss,0.7968
0,eval_mcc,0.1524
0,eval_pf,0.7497
0,eval_precision,0.1436
0,eval_recall,0.9483
0,eval_time,91.0
0,___best___,___best___
1,eval_acc,0.8759
1,eval_auc,0.8811
1,eval_brier,0.1241
1,eval_f1,0.6261
1,eval_loss,0.3408
1,eval_mcc,0.5965
1,eval_pf,0.1257
1,eval_precision,0.4836
1,eval_recall,0.8879
1,eval_time,91.0
1,___best___,___best___
2,eval_acc,0.9506
2,eval_auc,0.9234
2,eval_brier,0.0494
2,eval_f1,0.8078
2,eval_loss,0.2774
2,eval_mcc,0.7839
2,eval_pf,0.0411
2,eval_precision,0.741
2,eval_recall,0.8879
2,eval_time,91.0
2,___best___,___best___
3,eval_acc,0.9506
3,eval_auc,0.9122
3,eval_brier,0.0494
3,eval_f1,0.8032
3,eval_loss,0.2341
3,eval_mcc,0.7775
3,eval_pf,0.0377
3,eval_precision,0.7519
3,eval_recall,0.8621
3,eval_time,91.0
4,eval_acc,0.886
4,eval_auc,0.9018
4,eval_brier,0.114
4,eval_f1,0.6544
4,eval_loss,0.481
4,eval_mcc,0.631
4,eval_pf,0.1189
4,eval_precision,0.5071
4,eval_recall,0.9224
4,eval_time,91.0
5,eval_acc,0.9314
5,eval_auc,0.92
5,eval_brier,0.0686
5,eval_f1,0.7554
5,eval_loss,0.4211
5,eval_mcc,0.7303
5,eval_pf,0.0651
5,eval_precision,0.6481
5,eval_recall,0.9052
5,eval_time,91.0
6,eval_acc,0.8396
6,eval_auc,0.8942
6,eval_brier,0.1604
6,eval_f1,0.5849
6,eval_loss,0.9785
6,eval_mcc,0.5713
6,eval_pf,0.1771
6,eval_precision,0.4195
6,eval_recall,0.9655
6,eval_time,91.0
7,eval_acc,0.9112
7,eval_auc,0.9161
7,eval_brier,0.0888
7,eval_f1,0.7086
7,eval_loss,0.4699
7,eval_mcc,0.6851
7,eval_pf,0.0903
7,eval_precision,0.5753
7,eval_recall,0.9224
7,eval_time,91.0
8,eval_acc,0.8628
8,eval_auc,0.8999
8,eval_brier,0.1372
8,eval_f1,0.618
8,eval_loss,0.8935
8,eval_mcc,0.6001
8,eval_pf,0.1486
8,eval_precision,0.4583
8,eval_recall,0.9483
8,eval_time,91.0
9,eval_acc,0.9465
9,eval_auc,0.9361
9,eval_brier,0.0535
9,eval_f1,0.8015
9,eval_loss,0.2679
9,eval_mcc,0.7802
9,eval_pf,0.0503
9,eval_precision,0.7086
9,eval_recall,0.9224
9,eval_time,91.0
10,eval_acc,0.9021
10,eval_auc,0.9221
10,eval_brier,0.0979
10,eval_f1,0.694
10,eval_loss,0.6487
10,eval_mcc,0.675
10,eval_pf,0.104
10,eval_precision,0.5473
10,eval_recall,0.9483
10,eval_time,91.0
11,eval_acc,0.9273
11,eval_auc,0.9215
11,eval_brier,0.0727
11,eval_f1,0.7465
11,eval_loss,0.3776
11,eval_mcc,0.7222
11,eval_pf,0.0709
11,eval_precision,0.631
11,eval_recall,0.9138
11,eval_time,91.0
12,eval_acc,0.9314
12,eval_auc,0.92
12,eval_brier,0.0686
12,eval_f1,0.7554
12,eval_loss,0.5038
12,eval_mcc,0.7303
12,eval_pf,0.0651
12,eval_precision,0.6481
12,eval_recall,0.9052
12,eval_time,91.0
13,eval_acc,0.9395
13,eval_auc,0.9246
13,eval_brier,0.0605
13,eval_f1,0.7778
13,eval_loss,0.5029
13,eval_mcc,0.7535
13,eval_pf,0.056
13,eval_precision,0.6818
13,eval_recall,0.9052
13,eval_time,91.0
14,eval_acc,0.9173
14,eval_auc,0.927
14,eval_brier,0.0827
14,eval_f1,0.7267
14,eval_loss,0.5796
14,eval_mcc,0.706
14,eval_pf,0.0857
14,eval_precision,0.5924
14,eval_recall,0.9397
14,eval_time,91.0
15,eval_acc,0.9173
15,eval_auc,0.927
15,eval_brier,0.0827
15,eval_f1,0.7267
15,eval_loss,0.6642
15,eval_mcc,0.706
15,eval_pf,0.0857
15,eval_precision,0.5924
15,eval_recall,0.9397
15,eval_time,91.0
16,eval_acc,0.9183
16,eval_auc,0.9275
16,eval_brier,0.0817
16,eval_f1,0.7291
16,eval_loss,0.6914
16,eval_mcc,0.7085
16,eval_pf,0.0846
16,eval_precision,0.5956
16,eval_recall,0.9397
16,eval_time,91.0
17,eval_acc,0.9183
17,eval_auc,0.9275
17,eval_brier,0.0817
17,eval_f1,0.7291
17,eval_loss,0.6849
17,eval_mcc,0.7085
17,eval_pf,0.0846
17,eval_precision,0.5956
17,eval_recall,0.9397
17,eval_time,91.0
18,eval_acc,0.9203
18,eval_auc,0.9287
18,eval_brier,0.0797
18,eval_f1,0.734
18,eval_loss,0.676
18,eval_mcc,0.7134
18,eval_pf,0.0823
18,eval_precision,0.6022
18,eval_recall,0.9397
18,eval_time,91.0
19,eval_acc,0.9193
19,eval_auc,0.9281
19,eval_brier,0.0807
19,eval_f1,0.7315
19,eval_loss,0.6815
19,eval_mcc,0.7109
19,eval_pf,0.0834
19,eval_precision,0.5989
19,eval_recall,0.9397
19,eval_time,91.0
