Epoch,Metrics,Score
0,eval_acc,0.3868
0,eval_auc,0.5564
0,eval_brier,0.6132
0,eval_f1,0.4538
0,eval_loss,0.6967
0,eval_mcc,0.1405
0,eval_pf,0.8182
0,eval_precision,0.3
0,eval_recall,0.931
0,eval_time,19.0
0,___best___,___best___
1,eval_acc,0.3774
1,eval_auc,0.5607
1,eval_brier,0.6226
1,eval_f1,0.459
1,eval_loss,0.7263
1,eval_mcc,0.1649
1,eval_pf,0.8442
1,eval_precision,0.3011
1,eval_recall,0.9655
1,eval_time,19.0
1,___best___,___best___
2,eval_acc,0.6698
2,eval_auc,0.762
2,eval_brier,0.3302
2,eval_f1,0.6154
2,eval_loss,0.5784
2,eval_mcc,0.474
2,eval_pf,0.4416
2,eval_precision,0.4516
2,eval_recall,0.9655
2,eval_time,19.0
2,___best___,___best___
3,eval_acc,0.8679
3,eval_auc,0.8339
3,eval_brier,0.1321
3,eval_f1,0.7586
3,eval_loss,0.4224
3,eval_mcc,0.6677
3,eval_pf,0.0909
3,eval_precision,0.7586
3,eval_recall,0.7586
3,eval_time,19.0
3,___best___,___best___
4,eval_acc,0.8113
4,eval_auc,0.6982
4,eval_brier,0.1887
4,eval_f1,0.5652
4,eval_loss,0.5797
4,eval_mcc,0.4815
4,eval_pf,0.0519
4,eval_precision,0.7647
4,eval_recall,0.4483
4,eval_time,19.0
5,eval_acc,0.8396
5,eval_auc,0.8466
5,eval_brier,0.1604
5,eval_f1,0.7463
5,eval_loss,0.5571
5,eval_mcc,0.6444
5,eval_pf,0.1688
5,eval_precision,0.6579
5,eval_recall,0.8621
5,eval_time,19.0
6,eval_acc,0.8774
6,eval_auc,0.8511
6,eval_brier,0.1226
6,eval_f1,0.7797
6,eval_loss,0.5553
6,eval_mcc,0.6949
6,eval_pf,0.0909
6,eval_precision,0.7667
6,eval_recall,0.7931
6,eval_time,19.0
6,___best___,___best___
7,eval_acc,0.8491
7,eval_auc,0.8424
7,eval_brier,0.1509
7,eval_f1,0.75
7,eval_loss,0.826
7,eval_mcc,0.6491
7,eval_pf,0.1429
7,eval_precision,0.6857
7,eval_recall,0.8276
7,eval_time,19.0
8,eval_acc,0.8868
8,eval_auc,0.8683
8,eval_brier,0.1132
8,eval_f1,0.8
8,eval_loss,0.7597
8,eval_mcc,0.722
8,eval_pf,0.0909
8,eval_precision,0.7742
8,eval_recall,0.8276
8,eval_time,19.0
8,___best___,___best___
9,eval_acc,0.8774
9,eval_auc,0.8511
9,eval_brier,0.1226
9,eval_f1,0.7797
9,eval_loss,0.8241
9,eval_mcc,0.6949
9,eval_pf,0.0909
9,eval_precision,0.7667
9,eval_recall,0.7931
9,eval_time,19.0
10,eval_acc,0.8491
10,eval_auc,0.8424
10,eval_brier,0.1509
10,eval_f1,0.75
10,eval_loss,0.8923
10,eval_mcc,0.6491
10,eval_pf,0.1429
10,eval_precision,0.6857
10,eval_recall,0.8276
10,eval_time,19.0
11,eval_acc,0.8774
11,eval_auc,0.8511
11,eval_brier,0.1226
11,eval_f1,0.7797
11,eval_loss,0.8752
11,eval_mcc,0.6949
11,eval_pf,0.0909
11,eval_precision,0.7667
11,eval_recall,0.7931
11,eval_time,19.0
12,eval_acc,0.8585
12,eval_auc,0.8489
12,eval_brier,0.1415
12,eval_f1,0.7619
12,eval_loss,0.9313
12,eval_mcc,0.6664
12,eval_pf,0.1299
12,eval_precision,0.7059
12,eval_recall,0.8276
12,eval_time,19.0
13,eval_acc,0.8491
13,eval_auc,0.8316
13,eval_brier,0.1509
13,eval_f1,0.7419
13,eval_loss,0.9281
13,eval_mcc,0.6385
13,eval_pf,0.1299
13,eval_precision,0.697
13,eval_recall,0.7931
13,eval_time,19.0
14,eval_acc,0.8679
14,eval_auc,0.8446
14,eval_brier,0.1321
14,eval_f1,0.7667
14,eval_loss,0.9304
14,eval_mcc,0.6754
14,eval_pf,0.1039
14,eval_precision,0.7419
14,eval_recall,0.7931
14,eval_time,19.0
15,eval_acc,0.8679
15,eval_auc,0.8446
15,eval_brier,0.1321
15,eval_f1,0.7667
15,eval_loss,0.9318
15,eval_mcc,0.6754
15,eval_pf,0.1039
15,eval_precision,0.7419
15,eval_recall,0.7931
15,eval_time,19.0
16,eval_acc,0.8679
16,eval_auc,0.8446
16,eval_brier,0.1321
16,eval_f1,0.7667
16,eval_loss,0.9349
16,eval_mcc,0.6754
16,eval_pf,0.1039
16,eval_precision,0.7419
16,eval_recall,0.7931
16,eval_time,19.0
17,eval_acc,0.8679
17,eval_auc,0.8446
17,eval_brier,0.1321
17,eval_f1,0.7667
17,eval_loss,0.9376
17,eval_mcc,0.6754
17,eval_pf,0.1039
17,eval_precision,0.7419
17,eval_recall,0.7931
17,eval_time,19.0
18,eval_acc,0.8679
18,eval_auc,0.8446
18,eval_brier,0.1321
18,eval_f1,0.7667
18,eval_loss,0.938
18,eval_mcc,0.6754
18,eval_pf,0.1039
18,eval_precision,0.7419
18,eval_recall,0.7931
18,eval_time,19.0
19,eval_acc,0.8679
19,eval_auc,0.8446
19,eval_brier,0.1321
19,eval_f1,0.7667
19,eval_loss,0.9395
19,eval_mcc,0.6754
19,eval_pf,0.1039
19,eval_precision,0.7419
19,eval_recall,0.7931
19,eval_time,19.0
