Metrics,Score
eval_acc,0.9057
eval_auc,0.8491
eval_brier,0.0943
eval_f1,0.8077
eval_loss,0.4068
eval_mcc,0.7551
eval_pf,0.026
eval_precision,0.913
eval_recall,0.7241
eval_time,15.0
