Metrics,Score
eval_acc,0.8928
eval_auc,0.868
eval_brier,0.1072
eval_f1,0.6714
eval_loss,0.8659
eval_mcc,0.6273
eval_pf,0.0984
eval_precision,0.5618
eval_recall,0.8343
eval_time,123.0
