Metrics,Score
eval_acc,0.877
eval_auc,0.8854
eval_brier,0.123
eval_f1,0.65
eval_loss,1.0075
eval_mcc,0.6163
eval_pf,0.1258
eval_precision,0.5098
eval_recall,0.8966
eval_time,62.0
