Metrics,Score
eval_acc,0.9806
eval_auc,0.8056
eval_brier,0.0194
eval_f1,0.5423
eval_loss,0.1975
eval_mcc,0.5374
eval_pf,0.0127
eval_precision,0.4796
eval_recall,0.624
eval_time,6408.0
