Metrics,Score
eval_acc,0.9564
eval_auc,0.9285
eval_brier,0.0436
eval_f1,0.6575
eval_loss,0.2714
eval_mcc,0.6634
eval_pf,0.0407
eval_precision,0.5187
eval_recall,0.8976
eval_time,808.0
