Metrics,Score
eval_acc,0.859
eval_auc,0.8358
eval_brier,0.141
eval_f1,0.6164
eval_loss,0.5437
eval_mcc,0.5583
eval_pf,0.1318
eval_precision,0.5
eval_recall,0.8034
eval_time,136.0
