Metrics,Score
eval_acc,0.9205
eval_auc,0.9084
eval_brier,0.0795
eval_f1,0.7177
eval_loss,0.3152
eval_mcc,0.6915
eval_pf,0.076
eval_precision,0.6
eval_recall,0.8929
eval_time,115.0
