Metrics,Score
eval_acc,0.8479
eval_auc,0.8503
eval_brier,0.1521
eval_f1,0.1715
eval_loss,0.8201
eval_mcc,0.254
eval_pf,0.1522
eval_precision,0.0954
eval_recall,0.8529
eval_time,6550.0
