Metrics,Score
eval_acc,0.7627
eval_auc,0.7976
eval_brier,0.2373
eval_f1,0.5013
eval_loss,1.5237
eval_mcc,0.4388
eval_pf,0.2511
eval_precision,0.3561
eval_recall,0.8462
eval_time,104.0
