Metrics,Score
eval_acc,0.8174
eval_auc,0.8203
eval_brier,0.1826
eval_f1,0.5268
eval_loss,1.0626
eval_mcc,0.4787
eval_pf,0.1835
eval_precision,0.3871
eval_recall,0.824
eval_time,443.0
