Metrics,Score
eval_acc,0.9829
eval_auc,0.6979
eval_brier,0.0171
eval_f1,0.4646
eval_loss,0.1
eval_mcc,0.4619
eval_pf,0.0062
eval_precision,0.5504
eval_recall,0.4019
eval_time,6706.0
