Metrics,Score
eval_acc,0.949
eval_auc,0.8063
eval_brier,0.051
eval_f1,0.7325
eval_loss,0.288
eval_mcc,0.7191
eval_pf,0.0097
eval_precision,0.89
eval_recall,0.6224
eval_time,394.0
